2025-12-01 11:11:05 | Robo E-Processo | DEBUG | 
INICIANDO TELA DE MONITORAMENTO DO ROBO

2025-12-01 11:11:05 | Robo E-Processo | INFO | 
Iniciando execução do robô de renomeação e movimentação de PDFs

2025-12-01 11:11:07 | Robo E-Processo | INFO | Acesso liberado para Tecnico, executando robô...
2025-12-01 11:11:07 | Robo E-Processo | INFO | Total de processos encontrados: 26
2025-12-01 11:11:07 | Robo E-Processo | INFO | 
Processos a serem modificados: [('108200002099454', 'Michelly'), ('108200007589573', 'Michelly'), ('10850600561200579', 'Michelly'), ('108200003629562', 'Michelly'), ('108200018899919', 'Michelly'), ('108200018909990', 'Michelly'), ('108200009528857', 'Michelly'), ('108200005079462', 'Michelly'), ('108200013799509', 'Michelly'), ('108200010379436', 'Michelly'), ('11974002292201276', 'Michelly'), ('11974002301201229', 'Michelly'), ('13823000206200863', 'Michelly'), ('10820501379200836', 'Michelly'), ('11974000538201356', 'Michelly'), ('11974000539201309', 'Michelly'), ('10820001069200492', 'Michelly'), ('108200017669618', 'Michelly'), ('11974000498201181', 'Beatriz'), ('11974001913201113', 'Beatriz'), ('11974001911201124', 'Beatriz'), ('11974000948201216', 'Beatriz'), ('11974001912201179', 'Beatriz'), ('11974000493201158', 'Beatriz'), ('11974001908201119', 'Beatriz'), ('11974001909201155', 'Beatriz')]

2025-12-01 11:11:09 | Robo E-Processo | INFO | Pasta 'Lote - 1 - 01-12-2025 - 11:11' criada com sucesso! ID: 1fp9hmpfuggtKWKcp4yWKgbeUvLc9DCOa
2025-12-01 11:11:09 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 108200002099454

2025-12-01 11:11:09 | Robo E-Processo | INFO | ID da pasta do digitalizador 'Michelly' encontrado: 1l3v111EDRiJrE12irZbL17SCLyYaBa9r
2025-12-01 11:11:15 | Robo E-Processo | INFO | [OK] Processo 108200002099454 copiado e arquivos renomeados.

2025-12-01 11:11:15 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 108200007589573

2025-12-01 11:11:15 | Robo E-Processo | INFO | ID da pasta do digitalizador 'Michelly' encontrado: 1l3v111EDRiJrE12irZbL17SCLyYaBa9r
2025-12-01 11:11:20 | Robo E-Processo | INFO | [OK] Processo 108200007589573 copiado e arquivos renomeados.

2025-12-01 11:11:20 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 10850600561200579

2025-12-01 11:11:20 | Robo E-Processo | INFO | ID da pasta do digitalizador 'Michelly' encontrado: 1l3v111EDRiJrE12irZbL17SCLyYaBa9r
2025-12-01 11:11:26 | Robo E-Processo | INFO | [OK] Processo 10850600561200579 copiado e arquivos renomeados.

2025-12-01 11:11:26 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 108200003629562

